lang,Jan-1-2013,Jan-2-2013,Jan-3-2013,Jan-4-2013,Jan-5-2013,Jan-6-2013,Jan-7-2013,Jan-8-2013,Jan-9-2013,Jan-10-2013,Jan-11-2013,Jan-13-2013,Jan-15-2013,Jan-16-2013,Jan-17-2013,Jan-18-2013,Jan-19-2013,Jan-20-2013,Jan-21-2013,Jan-22-2013,Jan-24-2013,Jan-25-2013,Jan-26-2013,Jan-27-2013,Jan-28-2013,Jan-29-2013,Jan-30-2013,Jan-31-2013,Feb-1-2013,Feb-2-2013,Feb-3-2013,Feb-5-2013,Feb-6-2013,Feb-7-2013,Feb-8-2013,Feb-9-2013,Feb-10-2013,Feb-11-2013,Feb-12-2013,Feb-13-2013,Feb-14-2013,Feb-15-2013,Feb-16-2013,Feb-17-2013,Feb-19-2013,Feb-20-2013,Feb-21-2013,Feb-22-2013,Feb-23-2013,Feb-24-2013,Feb-26-2013,Feb-27-2013,Feb-28-2013,Mar-1-2013,Mar-4-2013,Mar-5-2013,Mar-6-2013,Mar-7-2013,Mar-9-2013,Mar-11-2013,Mar-12-2013,Mar-13-2013,Mar-14-2013,Mar-15-2013,Mar-17-2013,Mar-18-2013,Mar-19-2013,Mar-20-2013,Mar-21-2013,Mar-22-2013,Mar-23-2013,Mar-24-2013,Mar-25-2013,Mar-26-2013,Mar-27-2013,Mar-28-2013,Mar-29-2013,Mar-30-2013,Mar-31-2013,Apr-1-2013,Apr-2-2013,Apr-4-2013,Apr-5-2013,Apr-6-2013,Apr-7-2013,Apr-8-2013,Apr-9-2013,Apr-11-2013,Apr-12-2013,Apr-13-2013,Apr-14-2013,Apr-15-2013,Apr-16-2013,Apr-18-2013,Apr-19-2013,Apr-20-2013,Apr-21-2013
ruby-on-rails-3,37008,37044,37103,37173,37210,37255,37312,37363,37431,37500,37571,37635,37691,37773,37838,37909,37965,38008,38069,38137,38204,38264,38344,38305,38339,38402,38471,38539,38616,38647,38686,38743,38820,38892,38967,38992,39018,39064,39132,39211,39307,39380,39421,39458,39515,39584,39665,39741,39719,39760,39826,39892,39972,40039,40102,40179,40249,40329,40436,40508,40606,40678,40740,40792,40784,40818,40897,40951,41025,41074,41122,41125,41170,41233,41295,41359,41406,41420,41449,41502,41569,41634,41691,41750,41759,41793,41855,41956,42011,42070,42074,42111,42191,42255,42304,42350,42336
xcode,46107,46139,46205,46288,46294,46359,46424,46515,46602,46687,46755,46869,46961,47054,47170,47247,47313,47367,47466,47559,47659,47754,47826,47721,47772,47859,47948,48066,48146,48168,48207,48304,48383,48469,48571,48598,48630,48682,48767,48878,48971,49054,49110,49149,49225,49322,49418,49566,49496,49543,49631,49727,49799,49906,50015,50101,50182,50278,50421,50476,50613,50707,50779,50867,50839,50880,50939,51032,51118,51191,51252,51225,51290,51393,51479,51583,51644,51642,51681,51734,51829,51934,52047,52128,52138,52203,52283,52377,52464,52537,52519,52573,52697,52769,52834,52888,52841
linux,43238,43280,43353,43439,43429,43471,43531,43609,43725,43820,43898,43986,44077,44181,44278,44389,44463,44508,44580,44679,44772,44869,44965,44804,44861,44966,45070,45145,45242,45259,45304,45424,45512,45618,45712,45702,45746,45810,45905,46017,46118,46222,46275,46327,46413,46531,46655,46792,46691,46739,46820,46911,46996,47096,47189,47292,47385,47475,47615,47689,47811,47928,48038,48141,48116,48169,48271,48371,48466,48566,48656,48607,48680,48791,48888,48964,49043,49028,49070,49149,49264,49364,49456,49560,49525,49589,49694,49847,49916,50019,49975,50033,50157,50266,50370,50474,50425
objective-c,115160,115253,115418,115581,115652,115772,115929,116131,116328,116547,116721,116928,117105,117303,117548,117747,117902,117968,118164,118358,118585,118746,118898,118785,118901,119110,119298,119504,119698,119753,119858,120043,120216,120386,120564,120621,120707,120812,120998,121262,121492,121664,121798,121896,122074,122275,122526,122831,122764,122864,123087,123305,123546,123777,124062,124291,124503,124741,125056,125215,125509,125736,125932,126111,126100,126203,126391,126599,126802,126979,127139,127171,127315,127564,127767,127973,128162,128196,128296,128447,128673,128905,129118,129324,129355,129474,129649,129899,130071,130250,130270,130415,130686,130900,131075,131240,131222
mysql,135962,136096,136299,136529,136629,136785,136972,137230,137490,137755,138005,138314,138548,138834,139137,139399,139628,139785,140018,140292,140586,140836,141056,140920,141106,141389,141659,141941,142183,142314,142494,142782,143038,143315,143613,143769,143925,144084,144356,144695,144973,145235,145434,145606,145843,146143,146447,146867,146822,146977,147229,147526,147830,148091,148602,148879,149157,149434,149891,150238,150646,150927,151239,151516,151579,151774,152039,152343,152658,152960,153221,153294,153499,153791,154089,154369,154597,154687,154870,155106,155435,155790,156107,156362,156413,156641,156932,157433,157707,157996,158019,158250,158692,159018,159301,159528,159537
xml,54431,54475,54548,54624,54646,54686,54748,54830,54920,55011,55098,55172,55241,55337,55442,55509,55573,55607,55684,55758,55866,55963,56042,55950,56011,56083,56179,56269,56345,56377,56430,56533,56627,56713,56795,56832,56869,56913,56992,57113,57212,57310,57345,57385,57469,57575,57683,57806,57750,57786,57866,57999,58094,58185,58275,58375,58471,58595,58737,58807,58941,59040,59139,59226,59224,59257,59366,59456,59564,59673,59744,59731,59783,59884,59985,60068,60148,60160,60190,60258,60384,60501,60628,60719,60695,60750,60862,61027,61118,61216,61191,61260,61402,61507,61609,61703,61680
asp.net-mvc,47774,47800,47871,47926,47954,47999,48047,48096,48151,48235,48310,48380,48444,48534,48626,48717,48793,48848,48999,49086,49154,49294,49383,49350,49397,49491,49584,49668,49754,49798,49847,49918,49998,50070,50190,50239,50324,50370,50451,50582,50679,50786,50844,50891,50975,51083,51203,51398,51434,51479,52266,52399,52510,52625,52821,52897,52960,53052,53190,53321,53458,53541,53692,53814,53830,53883,54028,54141,54255,54423,54523,54545,54687,54772,54918,55007,55103,55252,55328,55585,55757,55843,55968,56089,56246,56297,56412,56572,56678,56772,56787,56841,56984,57058,57153,57242,57247
java,345249,345572,346087,346694,346934,347268,347742,348369,349030,349726,350346,351015,351543,352260,353036,353748,354262,354614,355249,355912,356569,357218,357823,357266,357710,358420,359089,359827,360441,360630,361038,361686,362381,363097,363766,363987,364335,364720,365427,366309,367102,367763,368184,368604,369299,370075,370976,372019,371843,372288,372958,373752,374623,375371,376369,377115,377914,378725,379940,380760,381801,382527,383331,384037,384113,384555,385248,386096,386924,387687,388324,388404,388930,389661,390365,391181,391890,391886,392315,392913,393764,394677,395452,396231,396282,396857,397611,398963,399701,400417,400430,401020,402137,402973,403803,404448,404435
ruby-on-rails,98702,98775,98904,99044,99114,99203,99300,99440,99617,99769,99925,100118,100230,100406,100575,100727,100860,100968,101116,101285,101448,101610,101745,101665,101763,101931,102120,102260,102402,102475,102576,102730,102904,103077,103231,103326,103405,103507,103653,103830,104009,104185,104292,104381,104511,104665,104827,105039,105030,105134,105284,105449,105631,105812,106056,106222,106385,106543,106809,106985,107243,107424,107605,107743,107764,107866,108048,108210,108400,108528,108661,108695,108797,108967,109123,109300,109435,109490,109566,109715,109893,110065,110230,110374,110401,110542,110695,110978,111129,111261,111318,111428,111670,111858,112019,112149,112172
asp.net,151557,151640,151836,152044,152120,152180,152310,152505,152731,152972,153138,153307,153475,153681,153928,154122,154225,154300,154373,154571,154783,155005,155169,154896,155015,155227,155429,155660,155856,155887,155958,156134,156336,156539,156781,156843,156900,156986,157179,157458,157688,157895,157986,158056,158268,158512,158735,159083,158973,159062,159080,159244,159486,159686,159806,160023,160234,160490,160865,160963,161241,161486,161717,161892,161850,161932,162070,162254,162492,162681,162826,162779,162834,163052,163180,163430,163612,163534,163566,163688,163868,164098,164324,164473,164334,164464,164725,165164,165364,165567,165517,165650,165975,166217,166456,166619,166557
sql-server,57409,57448,57514,57614,57635,57663,57725,57815,57911,58015,58081,58158,58235,58337,58455,58553,58631,58665,58743,58839,58934,59029,59102,59058,59112,59212,59329,59440,59514,59547,59577,59658,59742,59833,59928,59954,59979,60013,60116,60247,60349,60438,60466,60495,60581,60708,60840,60995,60978,61013,61130,61228,61350,61429,61524,61624,61721,61851,62018,62099,62237,62360,62462,62566,62560,62594,62698,62796,62917,63016,63109,63105,63156,63278,63401,63541,63626,63615,63643,63717,63831,63957,64081,64195,64181,64243,64353,64544,64652,64756,64748,64821,64976,65063,65175,65252,65228
python,153267,153413,153619,153893,154027,154209,154389,154623,154938,155247,155497,155819,156067,156365,156689,156958,157195,157373,157656,157931,158215,158500,158776,158800,159035,159370,159699,160045,160334,160539,160738,161065,161384,161740,162062,162293,162452,162655,162957,163390,163811,164150,164338,164535,164802,165128,165494,165993,166037,166242,166582,166912,167279,167636,168241,168564,168873,169196,169776,170184,170653,171002,171329,171633,171739,171966,172317,172610,172968,173314,173585,173705,173955,174272,174592,174939,175244,175388,175566,175823,176204,176596,176971,177307,177407,177657,178010,178639,178944,179275,179384,179653,180151,180564,180948,181240,181316
json,39675,39725,39825,39926,40039,40125,40295,40397,40498,40614,40784,40874,41017,41144,41235,41335,41352,41412,41534,41636,41739,41836,41919,41949,42011,42118,42228,42336,42427,42473,42527,42593,42726,42837,42955,43045,43073,43146,43246,43408,43520,43617,43623,43689,43841,43934,44055,44135,44136
html,137901,138049,138319,138559,138683,138840,139066,139335,139632,139924,140223,140560,140828,141119,141443,141747,142000,142190,142480,142761,143097,143426,143663,143573,143795,144121,144429,144736,145007,145138,145330,145639,145959,146270,146601,146764,146933,147094,147418,147837,148180,148476,148686,148859,149182,149479,149797,150278,150214,150371,150704,151019,151390,151730,152234,152538,152867,153211,153796,154173,154664,155004,155321,155649,155743,155929,156249,156587,156934,157284,157571,157631,157867,158206,158538,158912,159189,159279,159435,159678,160061,160394,160749,161111,161163,161378,161698,162318,162637,162958,163020,163255,163761,164084,164407,164712,164743
iphone,160371,160458,160618,160768,160773,160864,160988,161148,161307,161477,161617,161753,161859,161993,162189,162336,162439,162508,162655,162783,162963,163105,163221,162931,163005,163167,163305,163481,163602,163615,163690,163823,163975,164111,164280,164289,164344,164437,164604,164801,164951,165076,165158,165211,165323,165465,165641,165867,165709,165755,165877,166034,166191,166338,166447,166619,166766,166947,167149,167191,167364,167501,167636,167765,167728,167787,167912,168060,168231,168381,168469,168392,168483,168647,168779,168954,169080,169056,169104,169222,169388,169552,169718,169861,169839,169906,170059,170293,170432,170557,170502,170599,170788,170909,171040,171143,171041
android,270516,270927,271513,272096,272209,272531,273099,273740,274404,275067,275630,276333,276842,277494,278292,278998,279466,279863,280518,281184,281802,282450,283039,282093,282588,283282,283932,284625,285234,285324,285644,286318,286882,287551,288189,288274,288569,288910,289527,290301,290974,291536,291887,292203,292793,293479,294239,295241,294520,294892,295521,296196,296936,297604,298321,298965,299620,300335,301432,301988,302887,303580,304240,304841,304701,305055,305716,306426,307152,307837,308343,308206,308679,309317,309980,310657,311266,311170,311507,312042,312791,313485,314214,314839,314720,315245,315872,316973,317603,318253,318066,318514,319441,320092,320801,321325,321098
css,107361,107466,107646,107839,107937,108076,108225,108415,108682,108901,109117,109362,109577,109819,110075,110286,110457,110587,110805,111005,111243,111455,111651,111629,111776,112042,112285,112536,112745,112863,113006,113240,113477,113722,113990,114137,114270,114376,114621,114939,115200,115433,115601,115735,115976,116199,116461,116844,116854,116966,117177,117420,117700,117955,118347,118559,118828,119111,119527,119816,120188,120412,120667,120899,120956,121094,121335,121604,121857,122140,122331,122405,122592,122864,123148,123418,123642,123752,123870,124050,124329,124628,124896,125169,125247,125411,125651,126104,126362,126614,126687,126885,127265,127507,127750,127986,128038
regex,49469,49505,49572,49636,49680,49729,49784,49859,49949,50036,50115,50210,50289,50388,50504,50583,50642,50690,50770,50844,50943,51029,51098,51111,51171,51265,51362,51460,51556,51615,51663,51735,51841,51924,52023,52086,52109,52148,52240,52355,52456,52548,52601,52642,52726,52813,52911,53037,53077,53116,53174,53264,53345,53432,53587,53688,53787,53880,54066,54173,54304,54407,54505,54583,54611,54649,54716,54835,54944,55039,55115,55152,55206,55308,55384,55487,55556,55596,55630,55680,55765,55844,55939,56020,56047,56107,56172,56326,56413,56492,56508,56573,56708,56821,56934,57015,57027
c#,396561,396822,397314,397881,398067,398283,398705,399275,399903,400507,401104,401702,402230,402885,403659,404294,404695,404991,405614,406226,406929,407583,408158,407801,408189,408835,409505,410204,410828,410993,411301,411939,412604,413224,413898,414174,414400,414692,415303,416118,416840,417462,417766,418057,418719,419434,420219,421210,421078,421342,421987,422683,423437,424099,424977,425637,426316,427017,428211,428778,429691,430469,431176,431778,431879,432204,432902,433609,434327,435057,435632,435693,436083,436745,437385,438209,438766,438869,439102,439596,440300,441042,441737,442342,442347,442751,443432,444695,445401,446029,446043,446465,447470,448267,448958,449491,449446
javascript,305850,306150,306640,307186,307462,307762,308239,308890,309558,310242,310827,311520,312049,312781,313453,314086,314621,314963,315594,316211,316891,317531,318127,317823,318260,318983,319759,320445,321094,321353,321702,322390,323049,323718,324472,324860,325209,325588,326268,327220,328005,328745,329189,329584,330236,330934,331694,332757,332595,332960,333651,334370,335171,335856,336880,337590,338340,339130,340354,341050,342025,342746,343470,344095,344204,344588,345271,345997,346782,347467,348062,348130,348594,349316,350021,350868,351530,351778,352114,352629,353449,354227,354969,355684,355771,356217,356891,358152,358819,359525,359590,360063,361135,361942,362684,363341,363392
